Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
1041_R1_001	47.5588484932	150.0	18637582.0	18.1818181818	43.0
1041_R2_001	32.539432899	150.0	18637582.0	9.09090909091	44.0
1101_R1_001	42.8043686874	150.0	21636831.0	18.1818181818	44.0
1101_R2_001	40.9043861475	150.0	21636831.0	18.1818181818	44.0
1471_R1_001	50.7349095383	150.0	16990028.0	27.2727272727	45.0
1471_R2_001	41.2679498719	150.0	16990028.0	27.2727272727	44.0
1548_R1_001	35.999387273	150.0	17651137.0	18.1818181818	45.0
1548_R2_001	34.2196069103	150.0	17651137.0	18.1818181818	45.0
1628_R1_001	45.4472245825	150.0	21647915.0	18.1818181818	43.0
1628_R2_001	43.3878295127	150.0	21647915.0	18.1818181818	44.0
1637_R1_001	46.7426449587	150.0	16853810.0	27.2727272727	45.0
1637_R2_001	38.0230632294	150.0	16853810.0	18.1818181818	44.0
Sample1_R1	43.1903048614	101.0	16487768.0	9.09090909091	43.0
Sample1_R2	19.604990137	101.0	16487768.0	9.09090909091	44.0
Sample2_R1	45.8098344697	101.0	10755630.0	9.09090909091	41.0
Sample2_R2	19.764038381	101.0	10755630.0	9.09090909091	42.0
Sample3_R1	44.6609466517	101.0	13534820.0	9.09090909091	42.0
Sample3_R2	18.3676424676	101.0	13534820.0	9.09090909091	43.0
Sample4_R1	14.8729474038	101.0	10275396.0	9.09090909091	41.0
Sample4_R2	9.69099368191	101.0	10275396.0	9.09090909091	43.0
Sample5_R1	9.87971276569	101.0	16601774.0	9.09090909091	40.0
Sample5_R2	2.89848855767	101.0	16601774.0	9.09090909091	42.0
Sample6_R1	9.53363111394	101.0	13440121.0	9.09090909091	40.0
Sample6_R2	4.30220703609	101.0	13440121.0	9.09090909091	42.0
