"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"350","GO:0007283",0.0593553522962783,1,2,2,"spermatogenesis","BP"
"495","GO:0010977",0.0593553524075138,1,2,2,"negative regulation of neuron projection development","BP"
"635","GO:0030154",0.0593553524075138,1,2,2,"cell differentiation","BP"
"1100","GO:0048754",0.0593553524438013,1,2,2,"branching morphogenesis of an epithelial tube","BP"
"362","GO:0007517",0.059355352444462,1,2,2,"muscle organ development","BP"
"926","GO:0042593",0.0593553525094538,1,2,2,"glucose homeostasis","BP"
"1010","GO:0045022",0.0593553525101143,1,2,2,"early endosome to late endosome transport","BP"
"990","GO:0043565",0.0593553525503051,1,2,2,"sequence-specific DNA binding","MF"
"1056","GO:0046039",0.0781228802123156,1,2,2,"GTP metabolic process","BP"
"69","GO:0001889",0.0781228804454053,1,2,2,"liver development","BP"
"382","GO:0008021",0.0967240018596725,0.986007676082676,3,5,"synaptic vesicle","CC"
"936","GO:0042803",0.0967240021805821,0.986007676014486,3,5,"protein homodimerization activity","MF"
"373","GO:0007608",0.097665245430738,1,2,2,"sensory perception of smell","BP"
"55","GO:0001664",0.0976652455605655,1,2,2,"G protein-coupled receptor binding","MF"
"732","GO:0031852",0.0976652455605655,1,2,2,"mu-type opioid receptor binding","MF"
"1242","GO:0070527",0.0976652455605655,1,2,2,"platelet aggregation","BP"
"201","GO:0005759",0.115275261970171,0.981872923937008,3,5,"mitochondrial matrix","CC"
"681","GO:0030672",0.149329764094063,0.985631397928254,2,3,"synaptic vesicle membrane","CC"
"664","GO:0030334",0.14932976430056,0.985631397895218,2,3,"regulation of cell migration","BP"
"710","GO:0031410",0.155785738940683,0.955661911013855,4,9,"cytoplasmic vesicle","CC"
"1231","GO:0070062",0.212646038209922,0.930968510300519,4,9,"extracellular exosome","CC"
"10","GO:0000149",0.244146729220187,1,1,1,"SNARE binding","MF"
"12","GO:0000165",0.244146729220187,1,1,1,"MAPK cascade","BP"
"17","GO:0000287",0.244146729220187,1,1,1,"magnesium ion binding","MF"
"132","GO:0004706",0.244146729220187,1,1,1,"JUN kinase kinase kinase activity","MF"
"133","GO:0004709",0.244146729220187,1,1,1,"MAP kinase kinase kinase activity","MF"
"137","GO:0004722",0.244146729220187,1,1,1,"protein serine/threonine phosphatase activity","MF"
"212","GO:0005798",0.244146729220187,1,1,1,"Golgi-associated vesicle","CC"
"263","GO:0006470",0.244146729220187,1,1,1,"protein dephosphorylation","BP"
"310","GO:0007005",0.244146729220187,1,1,1,"mitochondrion organization","BP"
"314","GO:0007029",0.244146729220187,1,1,1,"endoplasmic reticulum organization","BP"
"409","GO:0008340",0.244146729220187,1,1,1,"determination of adult lifespan","BP"
"472","GO:0010508",0.244146729220187,1,1,1,"positive regulation of autophagy","BP"
"480","GO:0010738",0.244146729220187,1,1,1,"regulation of protein kinase A signaling","BP"
"491","GO:0010955",0.244146729220187,1,1,1,"negative regulation of protein processing","BP"
"497","GO:0014041",0.244146729220187,1,1,1,"regulation of neuron maturation","BP"
"524","GO:0015631",0.244146729220187,1,1,1,"tubulin binding","MF"
"543","GO:0016234",0.244146729220187,1,1,1,"inclusion body","CC"
"544","GO:0016242",0.244146729220187,1,1,1,"negative regulation of macroautophagy","BP"
"578","GO:0017075",0.244146729220187,1,1,1,"syntaxin-1 binding","MF"
"605","GO:0021756",0.244146729220187,1,1,1,"striatum development","BP"
"607","GO:0021772",0.244146729220187,1,1,1,"olfactory bulb development","BP"
"612","GO:0022028",0.244146729220187,1,1,1,"tangential migration from the subventricular zone to the olfactory bulb","BP"
"637","GO:0030159",0.244146729220187,1,1,1,"signaling receptor complex adaptor activity","MF"
"709","GO:0031398",0.244146729220187,1,1,1,"positive regulation of protein ubiquitination","BP"
"723","GO:0031647",0.244146729220187,1,1,1,"regulation of protein stability","BP"
"745","GO:0032091",0.244146729220187,1,1,1,"negative regulation of protein binding","BP"
"746","GO:0032092",0.244146729220187,1,1,1,"positive regulation of protein binding","BP"
"766","GO:0032436",0.244146729220187,1,1,1,"positive regulation of proteasomal ubiquitin-dependent protein catabolic process","BP"
"768","GO:0032473",0.244146729220187,1,1,1,"cytoplasmic side of mitochondrial outer membrane","CC"
"779","GO:0032760",0.244146729220187,1,1,1,"positive regulation of tumor necrosis factor production","BP"
"818","GO:0034211",0.244146729220187,1,1,1,"GTP-dependent protein kinase activity","MF"
"822","GO:0034260",0.244146729220187,1,1,1,"negative regulation of GTPase activity","BP"
"830","GO:0034599",0.244146729220187,1,1,1,"cellular response to oxidative stress","BP"
"833","GO:0034613",0.244146729220187,1,1,1,"cellular protein localization","BP"
"840","GO:0034976",0.244146729220187,1,1,1,"response to endoplasmic reticulum stress","BP"
"859","GO:0035564",0.244146729220187,1,1,1,"regulation of kidney size","BP"
"864","GO:0035640",0.244146729220187,1,1,1,"exploration behavior","BP"
