"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"58","GO:0016787",0.0180480686524294,0.98735837585173,78,240,"hydrolase activity","MF"
"16","GO:0005789",0.0273737455430155,0.982438771719883,46,135,"endoplasmic reticulum membrane","CC"
"24","GO:0006629",0.00485880895787706,0.997319786901701,43,114,"lipid metabolic process","BP"
"54","GO:0016491",0.0441436292054272,0.971325983825433,41,122,"oxidoreductase activity","MF"
"78","GO:0043025",0.0321354544480417,0.979697117069551,41,120,"neuronal cell body","CC"
"101","GO:0055114",0.00396665886148453,0.998029174621342,34,85,NA,NA
"21","GO:0006357",0.0285729934982222,0.983365454873383,32,89,"regulation of transcription by RNA polymerase II","BP"
"30","GO:0006974",0.0340808927528519,0.980855018330776,27,74,"cellular response to DNA damage stimulus","BP"
"48","GO:0014069",0.00650994030597091,0.996988503223364,26,63,"postsynaptic density","CC"
"15","GO:0005769",0.00656178977831059,0.997018269557536,25,60,"early endosome","CC"
"19","GO:0006281",0.0253340610579387,0.986618289924505,25,66,"DNA repair","BP"
"4","GO:0000981",0.00698909063028945,0.996934701937877,23,54,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"32","GO:0007417",0.00248538556611952,0.999081096390462,21,45,"central nervous system development","BP"
"8","GO:0003700",0.0450958564713341,0.976439082623238,20,53,"DNA-binding transcription factor activity","MF"
"79","GO:0043197",0.0242574676287834,0.989564266407222,16,38,"dendritic spine","CC"
"27","GO:0006869",0.0414680041101632,0.981130487347026,15,37,"lipid transport","BP"
"57","GO:0016757",0.0129227449809991,0.995380892908888,14,30,"glycosyltransferase activity","MF"
"37","GO:0007613",0.0018872628188322,0.999547121166432,13,23,"memory","BP"
"3","GO:0000977",0.0319076255188221,0.987786848409792,12,27,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF"
"23","GO:0006396",0.000383800777083181,0.9999394319266,12,18,"RNA processing","BP"
"69","GO:0035176",0.00139261695513693,0.999711881107066,12,20,"social behavior","BP"
"90","GO:0046983",0.00267348841468529,0.999373293375347,12,21,"protein dimerization activity","MF"
"29","GO:0006952",0.0142118608599857,0.995673078833507,11,22,"defense response","BP"
"42","GO:0008344",0.00185634642487922,0.99963497353023,11,18,"adult locomotory behavior","BP"
"62","GO:0019898",0.0292480325515859,0.989593603787983,11,24,"extrinsic component of membrane","CC"
"83","GO:0043547",0.0292209692499387,0.98960490436732,11,24,"positive regulation of GTPase activity","BP"
"113","GO:0090305",0.0419800014962254,0.983864175559712,11,25,"nucleic acid phosphodiester bond hydrolysis","BP"
"1","GO:0000398",0.0410884739553635,0.985233412592818,10,22,"mRNA splicing, via spliceosome","BP"
"34","GO:0007528",0.0272453695372652,0.991086869762808,10,21,"neuromuscular junction development","BP"
"36","GO:0007595",0.000179620652695258,0.999983457918682,10,13,"lactation","BP"
"67","GO:0032092",0.0401427576311281,0.985637245741915,10,22,"positive regulation of protein binding","BP"
"77","GO:0042733",0.0290131896680248,0.990398114613822,10,21,"embryonic digit morphogenesis","BP"
"124","GO:1902476",0.040854968269707,0.985333307312127,10,22,"chloride transmembrane transport","BP"
"95","GO:0050773",0.000525704418796417,0.999947151614487,9,12,"regulation of dendrite development","BP"
"98","GO:0051056",0.00979917468272255,0.997736414558413,9,16,"regulation of small GTPase mediated signal transduction","BP"
"100","GO:0051592",0.0106635540295235,0.997498444958792,9,16,"response to calcium ion","BP"
"118","GO:0097546",0.0395742147125966,0.986944002939852,9,19,"ciliary base","CC"
"126","GO:1905515",0.0103223451326722,0.997592852572885,9,16,"non-motile cilium assembly","BP"
"7","GO:0003007",0.0357948089820881,0.989548152698138,8,16,"heart morphogenesis","BP"
"11","GO:0004527",0.00168861666712364,0.999809228939526,8,11,"exonuclease activity","MF"
"26","GO:0006821",0.0359958363724223,0.989476630218855,8,16,"chloride transport","BP"
"45","GO:0009953",0.0357478471780949,0.989564847151159,8,16,"dorsal/ventral pattern formation","BP"
"56","GO:0016705",0.023598992320131,0.993904863668003,8,15,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF"
"73","GO:0035861",0.0356410654415878,0.989602787443866,8,16,"site of double-strand break","CC"
"76","GO:0042711",0.000141884968421549,0.999994689489871,8,9,"maternal behavior","BP"
"89","GO:0046959",0.0001407485429073,0.999994739169651,8,9,"habituation","BP"
"104","GO:0060125",2.00957903818463e-05,1,8,8,"negative regulation of growth hormone secretion","BP"
"105","GO:0060137",2.00957903818463e-05,1,8,8,"maternal process involved in parturition","BP"
"108","GO:0061003",0.00155004747190322,0.999827577705504,8,11,"positive regulation of dendritic spine morphogenesis","BP"
"117","GO:0097542",0.0360162591544536,0.989469358737807,8,16,"ciliary tip","CC"
"119","GO:0098696",0.000549082833980899,0.999959062325129,8,10,"regulation of neurotransmitter receptor localization to postsynaptic specialization membrane","BP"
"120","GO:0098885",2.00957903818463e-05,1,8,8,"modification of postsynaptic actin cytoskeleton","BP"
"121","GO:0098989",2.00957903818463e-05,1,8,8,"NMDA selective glutamate receptor signaling pathway","BP"
"122","GO:0099645",0.000141514330114802,0.999994705700326,8,9,"neurotransmitter receptor localization to postsynaptic specialization membrane","BP"
