"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"6863","GO:0060125",2.00957903818463e-05,1,8,8,"negative regulation of growth hormone secretion","BP"
"6868","GO:0060137",2.00957903818463e-05,1,8,8,"maternal process involved in parturition","BP"
"8221","GO:0098885",2.00957903818463e-05,1,8,8,"modification of postsynaptic actin cytoskeleton","BP"
"8249","GO:0098989",2.00957903818463e-05,1,8,8,"NMDA selective glutamate receptor signaling pathway","BP"
"9099","GO:1905274",2.00957903818463e-05,1,8,8,"regulation of modification of postsynaptic actin cytoskeleton","BP"
"6009","GO:0046959",0.0001407485429073,0.999994739169651,8,9,"habituation","BP"
"8331","GO:0099645",0.000141514330114802,0.999994705700326,8,9,"neurotransmitter receptor localization to postsynaptic specialization membrane","BP"
"5182","GO:0042711",0.000141884968421549,0.999994689489871,8,9,"maternal behavior","BP"
"1878","GO:0007595",0.000179620652695258,0.999983457918682,10,13,"lactation","BP"
"1390","GO:0006367",0.000344426391027331,1,6,6,"transcription initiation from RNA polymerase II promoter","BP"
"1402","GO:0006396",0.000383800777083181,0.9999394319266,12,18,"RNA processing","BP"
"6397","GO:0050773",0.000525704418796417,0.999947151614487,9,12,"regulation of dendrite development","BP"
"8177","GO:0098696",0.000549082833980899,0.999959062325129,8,10,"regulation of neurotransmitter receptor localization to postsynaptic specialization membrane","BP"
"1590","GO:0006890",0.00128893123577883,1,5,5,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","BP"
"4646","GO:0035176",0.00139261695513693,0.999711881107066,12,20,"social behavior","BP"
"7098","GO:0061003",0.00155004747190322,0.999827577705504,8,11,"positive regulation of dendritic spine morphogenesis","BP"
"826","GO:0004527",0.00168861666712364,0.999809228939526,8,11,"exonuclease activity","MF"
"2036","GO:0008344",0.00185634642487922,0.99963497353023,11,18,"adult locomotory behavior","BP"
"1891","GO:0007613",0.0018872628188322,0.999547121166432,13,23,"memory","BP"
"1819","GO:0007417",0.00248538556611952,0.999081096390462,21,45,"central nervous system development","BP"
"6021","GO:0046983",0.00267348841468529,0.999373293375347,12,21,"protein dimerization activity","MF"
"6797","GO:0055114",0.00396665886148453,0.998029174621342,34,85,NA,NA
"2042","GO:0008355",0.00476654393300831,1,4,4,"olfactory learning","BP"
"939","GO:0004970",0.00480726196746827,1,4,4,"ionotropic glutamate receptor activity","MF"
"4667","GO:0035235",0.00480726196746827,1,4,4,"ionotropic glutamate receptor signaling pathway","BP"
"5365","GO:0043393",0.00483905672284436,1,4,4,"regulation of protein binding","BP"
"1485","GO:0006629",0.00485880895787706,0.997319786901701,43,114,"lipid metabolic process","BP"
"7359","GO:0070372",0.00542690464970578,0.999481097443376,6,8,"regulation of ERK1 and ERK2 cascade","BP"
"1502","GO:0006661",0.00552299849313953,0.999469721545804,6,8,"phosphatidylinositol biosynthetic process","BP"
"6243","GO:0048678",0.0056503519669989,0.999454568685915,6,8,"response to axon injury","BP"
"2617","GO:0014069",0.00650994030597091,0.996988503223364,26,63,"postsynaptic density","CC"
"1164","GO:0005769",0.00656178977831059,0.997018269557536,25,60,"early endosome","CC"
"198","GO:0000981",0.00698909063028945,0.996934701937877,23,54,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"6508","GO:0051056",0.00979917468272255,0.997736414558413,9,16,"regulation of small GTPase mediated signal transduction","BP"
"1382","GO:0006351",0.0102532733305761,0.99828076624663,7,11,"transcription, DNA-templated","BP"
"9122","GO:1905515",0.0103223451326722,0.997592852572885,9,16,"non-motile cilium assembly","BP"
"6633","GO:0051592",0.0106635540295235,0.997498444958792,9,16,"response to calcium ion","BP"
"3022","GO:0016757",0.0129227449809991,0.995380892908888,14,30,"glycosyltransferase activity","MF"
"1792","GO:0007346",0.0129621078429669,0.998145820725153,6,9,"regulation of mitotic cell cycle","BP"
"6216","GO:0048596",0.013043080752209,0.998131375745821,6,9,"embryonic camera-type eye morphogenesis","BP"
"3077","GO:0017053",0.0130689466888416,0.998126756450541,6,9,"transcription repressor complex","CC"
"1622","GO:0006952",0.0142118608599857,0.995673078833507,11,22,"defense response","BP"
"2375","GO:0010172",0.0156915143351743,0.998271252052741,5,7,"embryonic body morphogenesis","BP"
"331","GO:0001779",0.0177245805285607,1,3,3,"natural killer cell differentiation","BP"
"3427","GO:0021952",0.0178619722510384,1,3,3,"central nervous system projection neuron axonogenesis","BP"
"5707","GO:0045599",0.0179275006083618,0.996320284450929,7,12,"negative regulation of fat cell differentiation","BP"
"5935","GO:0046626",0.0180093292125023,1,3,3,"regulation of insulin receptor signaling pathway","BP"
"7122","GO:0061066",0.0180093292125023,1,3,3,"positive regulation of dauer larval development","BP"
"3031","GO:0016787",0.0180480686524294,0.98735837585173,78,240,"hydrolase activity","MF"
"6240","GO:0048672",0.0180838099734902,1,3,3,"positive regulation of collateral sprouting","BP"
"3420","GO:0021914",0.0180946174502068,1,3,3,"negative regulation of smoothened signaling pathway involved in ventral spinal cord patterning","BP"
"7060","GO:0060831",0.0180946174502068,1,3,3,"smoothened signaling pathway involved in dorsal/ventral neural tube patterning","BP"
"8109","GO:0097500",0.0180946174502068,1,3,3,"receptor localization to non-motile cilium","BP"
"1216","GO:0005871",0.0181274523935392,0.996269942502963,7,12,"kinesin complex","CC"
"1345","GO:0006269",0.0181550764712206,1,3,3,"DNA replication, synthesis of RNA primer","BP"
"1864","GO:0007548",0.0181650984596842,1,3,3,"sex differentiation","BP"
"2842","GO:0016032",0.0181867461736048,1,3,3,"viral process","BP"
