"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"24","GO:0006629",0.00485880895787706,0.997319786901701,43,114,"lipid metabolic process","BP"
"21","GO:0006357",0.0285729934982222,0.983365454873383,32,89,"regulation of transcription by RNA polymerase II","BP"
"30","GO:0006974",0.0340808927528519,0.980855018330776,27,74,"cellular response to DNA damage stimulus","BP"
"19","GO:0006281",0.0253340610579387,0.986618289924505,25,66,"DNA repair","BP"
"32","GO:0007417",0.00248538556611952,0.999081096390462,21,45,"central nervous system development","BP"
"27","GO:0006869",0.0414680041101632,0.981130487347026,15,37,"lipid transport","BP"
"37","GO:0007613",0.0018872628188322,0.999547121166432,13,23,"memory","BP"
"23","GO:0006396",0.000383800777083181,0.9999394319266,12,18,"RNA processing","BP"
"69","GO:0035176",0.00139261695513693,0.999711881107066,12,20,"social behavior","BP"
"29","GO:0006952",0.0142118608599857,0.995673078833507,11,22,"defense response","BP"
"42","GO:0008344",0.00185634642487922,0.99963497353023,11,18,"adult locomotory behavior","BP"
"83","GO:0043547",0.0292209692499387,0.98960490436732,11,24,"positive regulation of GTPase activity","BP"
"113","GO:0090305",0.0419800014962254,0.983864175559712,11,25,"nucleic acid phosphodiester bond hydrolysis","BP"
"1","GO:0000398",0.0410884739553635,0.985233412592818,10,22,"mRNA splicing, via spliceosome","BP"
"34","GO:0007528",0.0272453695372652,0.991086869762808,10,21,"neuromuscular junction development","BP"
"36","GO:0007595",0.000179620652695258,0.999983457918682,10,13,"lactation","BP"
"67","GO:0032092",0.0401427576311281,0.985637245741915,10,22,"positive regulation of protein binding","BP"
"77","GO:0042733",0.0290131896680248,0.990398114613822,10,21,"embryonic digit morphogenesis","BP"
"124","GO:1902476",0.040854968269707,0.985333307312127,10,22,"chloride transmembrane transport","BP"
"95","GO:0050773",0.000525704418796417,0.999947151614487,9,12,"regulation of dendrite development","BP"
"98","GO:0051056",0.00979917468272255,0.997736414558413,9,16,"regulation of small GTPase mediated signal transduction","BP"
"100","GO:0051592",0.0106635540295235,0.997498444958792,9,16,"response to calcium ion","BP"
"126","GO:1905515",0.0103223451326722,0.997592852572885,9,16,"non-motile cilium assembly","BP"
"7","GO:0003007",0.0357948089820881,0.989548152698138,8,16,"heart morphogenesis","BP"
"26","GO:0006821",0.0359958363724223,0.989476630218855,8,16,"chloride transport","BP"
"45","GO:0009953",0.0357478471780949,0.989564847151159,8,16,"dorsal/ventral pattern formation","BP"
"76","GO:0042711",0.000141884968421549,0.999994689489871,8,9,"maternal behavior","BP"
"89","GO:0046959",0.0001407485429073,0.999994739169651,8,9,"habituation","BP"
"104","GO:0060125",2.00957903818463e-05,1,8,8,"negative regulation of growth hormone secretion","BP"
"105","GO:0060137",2.00957903818463e-05,1,8,8,"maternal process involved in parturition","BP"
"108","GO:0061003",0.00155004747190322,0.999827577705504,8,11,"positive regulation of dendritic spine morphogenesis","BP"
"119","GO:0098696",0.000549082833980899,0.999959062325129,8,10,"regulation of neurotransmitter receptor localization to postsynaptic specialization membrane","BP"
"120","GO:0098885",2.00957903818463e-05,1,8,8,"modification of postsynaptic actin cytoskeleton","BP"
"121","GO:0098989",2.00957903818463e-05,1,8,8,"NMDA selective glutamate receptor signaling pathway","BP"
"122","GO:0099645",0.000141514330114802,0.999994705700326,8,9,"neurotransmitter receptor localization to postsynaptic specialization membrane","BP"
"125","GO:1905274",2.00957903818463e-05,1,8,8,"regulation of modification of postsynaptic actin cytoskeleton","BP"
"20","GO:0006351",0.0102532733305761,0.99828076624663,7,11,"transcription, DNA-templated","BP"
"44","GO:0009952",0.0313989366708153,0.992253956369676,7,13,"anterior/posterior pattern specification","BP"
"75","GO:0042073",0.0489469883666762,0.986015804173671,7,14,"intraciliary transport","BP"
"86","GO:0045599",0.0179275006083618,0.996320284450929,7,12,"negative regulation of fat cell differentiation","BP"
"22","GO:0006367",0.000344426391027331,1,6,6,"transcription initiation from RNA polymerase II promoter","BP"
"25","GO:0006661",0.00552299849313953,0.999469721545804,6,8,"phosphatidylinositol biosynthetic process","BP"
"31","GO:0007346",0.0129621078429669,0.998145820725153,6,9,"regulation of mitotic cell cycle","BP"
"40","GO:0008217",0.0254499936082438,0.995177875457277,6,10,"regulation of blood pressure","BP"
"85","GO:0045494",0.0251543649771829,0.995248183235103,6,10,"photoreceptor cell maintenance","BP"
"91","GO:0048596",0.013043080752209,0.998131375745821,6,9,"embryonic camera-type eye morphogenesis","BP"
"93","GO:0048678",0.0056503519669989,0.999454568685915,6,8,"response to axon injury","BP"
"110","GO:0070372",0.00542690464970578,0.999481097443376,6,8,"regulation of ERK1 and ERK2 cascade","BP"
"115","GO:0090630",0.0424991866063239,0.990099816761045,6,11,"activation of GTPase activity","BP"
"28","GO:0006890",0.00128893123577883,1,5,5,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","BP"
"46","GO:0010172",0.0156915143351743,0.998271252052741,5,7,"embryonic body morphogenesis","BP"
"84","GO:0043583",0.0328064120719263,0.99464016182559,5,8,"ear development","BP"
"87","GO:0045664",0.0335024768197065,0.99449208417816,5,8,"regulation of neuron differentiation","BP"
"96","GO:0050806",0.0335589991630785,0.994480015730242,5,8,"positive regulation of synaptic transmission","BP"
"99","GO:0051276",0.0334095340000234,0.994511914626289,5,8,"chromosome organization","BP"
"6","GO:0001823",0.0450915444370945,0.994068701546816,4,6,"mesonephros development","BP"
"33","GO:0007422",0.0188973470037301,0.998741455722019,4,5,"peripheral nervous system development","BP"
"39","GO:0008090",0.0194759447689045,0.998689562669908,4,5,"retrograde axonal transport","BP"
"43","GO:0008355",0.00476654393300831,1,4,4,"olfactory learning","BP"
"47","GO:0014032",0.0452420666447571,0.994041786039206,4,6,"neural crest cell development","BP"
"50","GO:0015711",0.0188611552610939,0.99874468267929,4,5,"organic anion transport","BP"
"52","GO:0016203",0.0186953816062965,0.998759434740228,4,5,"muscle attachment","BP"
"53","GO:0016486",0.0440383265066308,0.994256046956476,4,6,"peptide hormone processing","BP"
"61","GO:0019229",0.0184970366705866,0.998777022975219,4,5,"regulation of vasoconstriction","BP"
"63","GO:0021545",0.0445544920940319,0.994164447762624,4,6,"cranial nerve development","BP"
"70","GO:0035235",0.00480726196746827,1,4,4,"ionotropic glutamate receptor signaling pathway","BP"
"72","GO:0035418",0.0187977261275829,0.998750332771523,4,5,"protein localization to synapse","BP"
"74","GO:0036372",0.0187798502799392,0.998751923853075,4,5,"opsin transport","BP"
"81","GO:0043393",0.00483905672284436,1,4,4,"regulation of protein binding","BP"
"82","GO:0043490",0.0451314902864983,0.994061562080713,4,6,"malate-aspartate shuttle","BP"
"94","GO:0050766",0.0445613263188397,0.994163232166981,4,6,"positive regulation of phagocytosis","BP"
"107","GO:0060993",0.0448628895658389,0.994109521116249,4,6,"kidney morphogenesis","BP"
"112","GO:0071276",0.0192433865298304,0.998710488723307,4,5,"cellular response to cadmium ion","BP"
"114","GO:0090316",0.0456758113788013,0.993964030525332,4,6,"positive regulation of intracellular protein transport","BP"
