gene_id,1041,1471,1637,Sample1,Sample2,Sample3
Pocillopora_acuta_HIv1_PredGene_g1593.t1,0,0,0,0,3,4
Pocillopora_acuta_HIv1_PredGene_g13143.t1,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g32263.t1,0,3,0,0,5,8
Pocillopora_acuta_HIv1_PredGene_g28347.t1,0,0,0,0,4,0
STRG.15042,51,62,42,37,59,63
STRG.15043,367,463,301,279,532,359
STRG.8661,2024,2060,1916,983,1898,1505
STRG.15041,19,108,25,23,253,37
STRG.8667,49,41,67,15,13,27
STRG.15047,17,7,9,19,7,6
STRG.8665,7,0,5,8,7,16
STRG.15045,22,6,0,11,8,3
STRG.8669,4,0,4,4,3,2
Pocillopora_acuta_HIv1_PredGene_30622_t,0,0,0,0,0,0
STRG.6544,17,20,11,11,21,27
STRG.6545,9,24,14,13,10,18
STRG.6546,8,19,7,4,8,12
STRG.6547,25,15,8,3,0,8
STRG.6540,4,3,2,4,6,3
STRG.6541,8,18,15,8,5,5
STRG.6542,15,0,11,7,3,7
STRG.6543,4,3,2,6,10,5
STRG.6548,13,17,32,8,7,22
STRG.6549,829,424,485,498,276,479
Pocillopora_acuta_HIv1_PredGene_g1162.t1,0,0,0,2,3,0
STRG.17575,916,523,523,337,371,473
STRG.17576,26,26,26,13,19,21
STRG.2437,71,205,222,38,70,148
Pocillopora_acuta_HIv1_PredGene_g7164.t1,0,0,0,0,6,0
STRG.17571,188,285,213,51,145,103
STRG.2432,1294,0,825,526,6,790
STRG.2433,11,65,4,0,7,0
STRG.17578,23,30,20,8,10,9
Pocillopora_acuta_HIv1_PredGene_g5976.t1,0,0,0,2,3,6
Pocillopora_acuta_HIv1_PredGene_g32240.t1,0,0,0,0,2,0
STRG.15594,67,23,42,39,54,68
STRG.15595,37,7,33,59,28,89
Pocillopora_acuta_HIv1_PredGene_g13467.t1,0,2,0,4,2,1
STRG.15597,225,176,144,165,247,208
Pocillopora_acuta_HIv1_PredGene_g10107.t1,0,0,0,0,4,0
STRG.15591,31,5,24,25,15,33
Pocillopora_acuta_HIv1_PredGene_g29329.t1,0,0,0,0,6,2
STRG.15593,46,34,17,14,25,15
STRG.15598,313,299,259,95,97,148
STRG.15599,317,167,160,157,102,119
Pocillopora_acuta_HIv1_PredGene_g5974.t2,0,61,0,0,0,0
STRG.12064,432,700,361,443,802,554
STRG.12067,220,201,152,71,103,86
STRG.12066,118,113,144,74,149,160
STRG.12061,46,53,29,18,27,16
STRG.12060,68,44,49,94,60,90
STRG.17688,37,44,53,7,11,16
Pocillopora_acuta_HIv1_PredGene_g11101.t1,0,0,0,0,2,0
STRG.17686,84,10,25,125,18,48
STRG.17687,553,416,485,314,509,442
STRG.17684,57,22,41,61,27,28
STRG.17685,8,0,12,24,0,19
STRG.17682,168,71,87,111,46,72
STRG.12068,32,35,27,10,21,12
STRG.17680,41,71,30,18,19,28
STRG.17681,122,0,43,49,24,33
Pocillopora_acuta_HIv1_PredGene_g32261.t1,0,0,0,1,0,0
Pocillopora_acuta_HIv1_PredGene_g8601.t1,0,0,0,0,0,0
STRG.2967,26,80,24,18,112,28
Pocillopora_acuta_HIv1_PredGene_g14096.t1,0,0,0,3,0,1
Pocillopora_acuta_HIv1_PredGene_829_t,0,115,67,11,0,8
Pocillopora_acuta_HIv1_PredGene_g1640.t1,0,0,0,2,0,0
STRG.2965,17,15,6,4,0,0
Pocillopora_acuta_HIv1_PredGene_g32542.t2,0,0,10,10,7,7
STRG.18751,363,353,251,151,123,139
STRG.18750,280,193,177,43,36,33
STRG.1015,429,151,230,159,107,184
STRG.18752,6,9,26,17,14,5
STRG.1013,169,129,141,57,54,55
Pocillopora_acuta_HIv1_PredGene_g3728.t1,0,0,0,0,0,0
STRG.1011,145,126,133,45,73,51
STRG.1010,40,16,29,10,6,7
STRG.18759,27,10,20,67,76,78
STRG.18758,245,306,219,208,226,273
Pocillopora_acuta_HIv1_PredGene_g10105.t1,0,0,0,0,0,0
STRG.1019,15,10,0,10,7,4
STRG.1018,73,138,103,43,93,71
STRG.14885,3,0,2,0,2,0
STRG.14884,12,4,9,2,3,2
STRG.14887,22,30,23,16,18,20
STRG.14886,14,12,12,13,16,11
STRG.14881,14,6,0,41,27,70
STRG.14880,32,25,21,16,35,33
Pocillopora_acuta_HIv1_PredGene_g24906.t1,0,0,0,0,0,0
